X-value	Y-value	Ground type
0.15	0.15	MB
0.17500000000000002	0.15	FS
0.17500000000000002	0.17500000000000002	FS
0.1	0.17500000000000002	FS
0.025	0.17500000000000002	FS
0.025	0.1	FS
0.025	0.025	FS
0.1	0.025	FS
0.17500000000000002	0.025	FS
0.25	0.025	FS
0.325	0.025	FS
0.4	0.025	FS
0.47500000000000003	0.025	FS
0.55	0.025	FS
0.625	0.025	FS
0.7	0.025	FS
0.7749999999999999	0.025	FS
0.8499999999999999	0.025	FS
0.8499999999999999	0.1	FS
0.8499999999999999	0.17500000000000002	FS
0.8499999999999999	0.25	FS
0.8499999999999999	0.325	FS
0.8499999999999999	0.4	FS
0.8499999999999999	0.47500000000000003	FS
0.7749999999999999	0.47500000000000003	FS
0.7	0.47500000000000003	FS
0.625	0.47500000000000003	FS
0.625	0.55	FS
0.625	0.625	FS
0.7	0.625	FS
0.7749999999999999	0.625	FS
0.8499999999999999	0.625	FS
0.8499999999999999	0.7	FS
0.8499999999999999	0.7749999999999999	FS
0.7749999999999999	0.7749999999999999	FS
0.7749999999999999	0.8	FS
0.8	0.8	FS
